Title,Genre,Descriptions
The Animal,Comedy,"From the producers of the comedy smash Deuce Bigalow comes The Animal, about a small, wimpy Marvin, who doesn't have what it takes to fulfill his lifelong dream to be a cop. But his luck changes when he's critically injured in a car accident and a deranged scientist secretly uses animal organs to rebuild him. Energized by his new parts, Marvin leaves his weakness behind and achieves instant fame as a supercop. Now a hero, life is going great for Marvin until his animal instincts start taking over his body at all the wrong times. Marvin struggles to remain civilized and be a perfect gentleman with his new love, Rianna in a series of hilarious situations that would drive any animal crazy. - IMDb"
Rocky II,Drama / Sport,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch. - IMDb"
Transporter 2,Action / Crime / Thriller,"Frank Martin is the best in the business. The ex-Special Forces operative hires himself out as a mercenary ""transporter"" who moves goods--human or otherwise. Very simple, he delivers, no questions asked. Frank has relocated from the French Mediterranean to Miami, Florida, where as a favor to a friend, Frank is driving for the wealthy Billings family. There's very little that can surprise The Transporter, but young Jack Billings has done just that; Frank has unexpectedly bonded with Jack, age 6, who he drives to and from school. But when Jack is kidnapped, Frank must use his battle-tested combat skills to retrieve the boy and thwart the kidnappers' master plan to release a virus that will kill anyone with whom it comes in contact. - IMDb"
J. Edgar,Biography / Crime / Drama,"Biopic of J. Edgar Hoover told by Hoover as he recalls his career for a biography. Early in his career, Hoover fixated on Communists, anarchists and any other revolutionary taking action against the U.S. government. He slowly builds the agency's reputation, becoming the sole arbiter of who gets hired and fired. One of his hires is Clyde Tolson who is quickly promoted to Assistant Director and would be Hoover's confidant and companion for the rest of Hoover's life. Hoover's memories have him playing a greater role in the many high profile cases the FBI was involved in - the Lindbergh baby kidnapping, the arrest of bank robbers like John Dillinger - and also show him to be quite adept at manipulating the various politicians he's worked with over his career, thanks in large part to his secret files. - IMDb"
Going in Style,Comedy / Crime,"A reboot of the 1979 movie that was directed by Martin Brest and featured George Burns, Art Carney, and Lee Strasberg. Three seniors, who are living social security check to check and even reduced to eating dog food at times, decide they have had enough. So, they plan to rob a bank...problem is, they don't even know how to handle a gun! A social commentary on growing old in America and what we are sometimes driven to, due to circumstances. - IMDb"
Date Movie,Comedy / Romance,"Julia Jones is unhappy. She's overweight, spends forever working at her fathers diner, and believes she will always be lonely. This is until she meets Grant Fockyerdoder. Before they can have their dream wedding, they must meet each others parents and survive the scheming Andy. - IMDb"
Carrie,Drama / Horror,"The outcast teenager Carrie White is bullied by her classmates at high-school. Her mother Margaret White is a pious and paranoid woman that sees sin everywhere and the need of self-inflicting punishment. When Carrie has her first period, she does not understand what is happening to her and her classmates humiliate her in the changing room. The spiteful Chris Hargensen videotapes Carrie with her cell phone and posts in Internet. Their teacher Ms. Desjardin punishes the students, but when Chris challenges her, she is suspended and consequently she can not go to the prom. Meanwhile Carrie discovers that she has telekinesis and learns how to control her ability. The popular Sue Snell feels bad with her attitude towards Carrie and asks her boyfriend Tommy Ross to invite Carrie to go with him to the prom to make up for what she did to Carrie. But Chris and her boyfriend Billy Nolan plot an evil prank with her friends to seek vengeance for Carrie with tragic consequences. - IMDb"
Zodiac,Crime / Drama / Mystery / Thriller,"Closer in spirit to a police procedural than a gory serial-killer flick, David Fincher's Zodiac provides a sleek, armrest-gripping re-invention of the crime film. It surveys the investigation of the Zodiac killings that terrorized the San Francisco Bay area in the late -60-early -70s; Zodiac not only killed people, but cultivated a Jack the Ripper aura by sending icky letters to the newspapers and daring readers to solve coded messages. But the film's focus isn't on the killer. We follow the reporters and detectives whose lives are taken over by the case, notably an addictive crime writer (a sartorially splendid Robert Downey Jr.), an awkward editorial cartoonist (Jake Gyllenhaal), and a hard-working cop (Mark Ruffalo). Fincher and his brilliant cinematographer Harris Savides are deft at capturing the period feel of the city, without laying on the seventies kitsch, and James Vanderbilt's script doles out its big moments to major and minor characters alike. Fincher's confidence is infectious; the movie glides through its myriad details with such dexterity that even the blind alleys and red herrings seem essential. The well-chosen cast includes unexpected people popping up all over: Anthony Edwards as a lunch-bucket homicide cop; Charles Fleischer as a mysterious suspect; Elias Koteas and Donal Logue as small-town policemen whose districts are hit by Zodiac; Chloe Sevigny as Gyllenhaal's sweet-natured wife; Brian Cox as the media-friendly lawyer Melvin Belli, so famous he once appeared on Star Trek; and the mighty John Carroll Lynch, as a supremely creepy suspect. The film is based on non-fiction books by Robert Graysmith (he's portrayed by Gyllenhaal), although Fincher and co. did extensive research on their own. The result is a propulsive whodunit without (thus far) an ending, but the uncertainty makes the film even more intriguing. --Robert Horton"
Dog,Comedy / Drama,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time. - IMDb
Meet the Spartans,Comedy,"The heroic Spartan king Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag bunch of 13 Spartan misfit warriors to defend their homeland against thousands of invading Persians whom include the Ghost Rider, Rocky Balboa, the Autobots, and an ugly hunchbacked Paris Hilton and a shaved-head Brittany Spears. - IMDb"
The Land Before Time,Animation / Adventure / Family / Fantasy,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive. - IMDb"
Never Been Kissed,Comedy / Drama / Romance,"Chicago Sun Times copy editor Josie Gellar (25), who was desperate to graduate from perfectionist copy editor to reporter, gets her chance when the goody owner orders the editor to cover the high-school scene by undercover. Josie, who was a frustrated, ridiculed nerd, gets a popular make-over from her drop-out, naturally funny brother Rob Geller. Both siblings find love and joys of youth again. But in Josie's case, it's sensitive bachelor teacher Sam Coulson, who enjoys sophisticated conversation. As the publication deadline approaches, the price of blowing their cover seems ever more daunting, yet inevitable unless she sacrifices her career. - IMDb"
The Poseidon Adventure,Action / Adventure / Drama / Thriller,"A passenger ship, on her way to the scrap yard is pushed to her limits by the new owners to save on the dismantling fees. A tidal wave hits her, flipping her over so that all the internal rooms are upside down. A priest takes a mixed band of survivors on a journey through the bowels of the ship in an attempt to survive. - IMDb"
Field of Dreams,Drama / Family / Fantasy / Sport,"Iowa farmer Ray Kinsella hears a voice in his corn field tell him, ""If you build it, he will come."" He interprets this message as an instruction to build a baseball field on his farm, upon which appear the ghosts of Shoeless Joe Jackson and the other seven Chicago White Sox players banned from the game for throwing the 1919 World Series. When the voices continue, Ray seeks out a reclusive author to help him understand the meaning of the messages and the purpose for his field. - IMDb"
The Judge,Crime / Drama,"Hank Palmer is a successful defense attorney in Chicago, who is getting a divorce. When His brother calls with the news that their mother has died, Hank returns to his childhood home to attend the funeral. Despite the brittle bond between Hank and the Judge, Hank must come to his father's aid and defend him in court. Here, Hank discovers the truth behind the case, which binds together the dysfunctional family and reveals the struggles and secrecy of the family. - IMDb"
What to Expect When You,Comedy / Drama / Romance,"Five couples' intertwined lives are turned upside down by the challenges of impending parenthood. Over the moon about starting a family, TV fitness guru Jules and dance show star Evan find that their high-octane celebrity lives don't stand a chance against the surprise demands of pregnancy. Baby-crazy author and advocate Wendy gets a taste of her own militant mommy advice when pregnancy hormones ravage her body; while Wendy's husband, Gary, struggles not to be outdone by his competitive alpha-Dad, who's expecting twins with his much younger trophy wife, Skyler. Photographer Holly is prepared to travel the globe to adopt a child, but her husband Alex isn't so sure, and tries to quiet his panic by attending a ""dudes"" support group, where new fathers get to tell it like it really is. And rival food truck chefs Rosie and Marco's surprise hook-up results in an unexpected quandary: what to do when your first child comes before your first date? - IMDb"
Nights in Rodanthe,Drama / Romance,"Adrienne Willis, a woman with her life in chaos, retreats to the tiny coastal town of Rodanthe, in the Outer Banks of North Carolina, to tend to a friend's inn for the weekend. Here she hopes to find the tranquility she so desperately needs to rethink the conflicts surrounding her -- a wayward husband who has asked to come home, and a teen-aged daughter who resents her every decision. Almost as soon as Adrienne gets to Rodanthe, a major storm is forecast and a guest named Dr. Paul Flanner arrive. The only guest at the inn, Flanner is not on a weekend escape but rather is there to face his own crisis of conscience. Now, with the storm closing in, the two turn to each other for comfort and, in one magical weekend, set in motion a life-changing romance that will resonate throughout the rest of their lives. - IMDb"
Premonition,Drama / Mystery / Thriller,"The middle-class couple Linda Hanson and Jim Hanson live a wasted and routine relationship with their two daughters in their comfortable house in the suburbs. On a Thursday morning, the local sheriff visits Linda and tells her that her husband died in a car accident on the previous day. On the next morning, when Linda awakes, she finds Jim safe and sound at home. When she awakes on the next morning, she realizes that her days are out of order, but her family and friends believe she is insane. - IMDb"
Bei Jing yu shang Xi Ya Tu,Comedy / Romance,"A woman from Beijing, pregnant with the child of her rich married boyfriend flies to Seattle in order to deliver the baby. There she meets another Chinese immigrant man working as a driver, even as she finds her life beginning to change. - IMDb"
Marmaduke,Comedy / Family,"Marmaduke, the world's most lovable Great Dane, leaps from comic strip fame (appearing in 600 newspapers in over 20 countries) to big screen stardom in this family comedy event. A suburban family moves to a new neighborhood in Orange County, California with their large yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way. But its not all living large for the Duke, who finds that fitting in with his new four-legged friends - and a potential romantic interest - isn't always easy for a super-sized teenage dog. Owen Wilson gives the beloved Great Dane his voice in the film, which also features the voices of Fergie, George Lopez, Emma Stone and Kiefer Sutherland. - IMDb"
Mortal Engines,Action / Adventure / Fantasy / Sci-Fi / Thriller,"A mysterious young woman, Hester Shaw, emerges as the only one who can stop a giant, predator city on wheels devouring everything in its path. Feral, and fiercely driven by the memory of her mother, Hester joins forces with Tom Natsworthy, an outcast from London, along with Anna Fang, a dangerous outlaw with a bounty on her head. - IMDb"
Mortal Kombat,Action / Adventure / Fantasy / Sci-Fi / Thriller,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe. - IMDb
Point Break,Action / Crime / Thriller,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers. - IMDb
Airplane!,Comedy,"Still craving for the love of his life, Ted Striker follows Elaine onto the flight that she is working on as a member of the cabin crew. Elaine doesn't want to be with Ted anymore, but when the crew and passengers fall ill from food poisoning, all eyes are on Ted. - IMDb"
Blow,Biography / Crime / Drama,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price. - IMDb"
El Laberinto del fauno,Drama / Fantasy / War,"In 1944 falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the the true princess and will never see her real father, the king, again. - IMDb"
Piranha 3D,Comedy / Horror,"Lake Victoria's annual Spring party by 50,000 young revelers is about to turn into a feeding frenzy with prehistoric hunger-pains. With knee-trembler's above the waves and tremors below, released from their dormant sleep, thousands upon thousands of flesh-eating nippers are released into the lake with whetted appetites and razor-sharp teeth. With a motley crew of strangers thrown together to defend these shores, it is now up to them to prevent the largest eat-out in human, and piranha, history. - IMDb"
Some Like It Hot,Comedy / Romance,"When two Chicago musicians, Joe and Jerry, witness the the St. Valentine's Day massacre, they want to get out of town and get away from the gangster responsible, Spats Colombo. They're desperate to get a gig out of town but the only job they know of is in an all-girl band heading to Florida. They show up at the train station as Josephine and Daphne, the replacement saxophone and bass players. They certainly enjoy being around the girls, especially Sugar Kane Kowalczyk who sings and plays the ukulele. Joe in particular sets out to woo her while Jerry/Daphne is wooed by a millionaire, Osgood Fielding III. Mayhem ensues as the two men try to keep their true identities hidden and Spats Colombo and his crew show up for a meeting with several other crime lords. - IMDb"
Hall Pass,Comedy / Romance,"A couple of married guys are always looking at other women. Their wives are fed up with their behavior, and grant them a 'hall pass': a week off their marriage allowing them to do anything. But the guys take their time and their week is almost up. What they don't realize is that at the same time their wives make connections of their own. - IMDb"
Rings,Drama / Horror / Mystery / Romance,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days. - IMDb
Fack ju Göhte 2,Comedy,Mr. Müller and his class are taking a school trip to Thailand to strengthen the reputation of their school. - IMDb
Savages,Crime / Drama / Thriller,"In California, the former Navy SEAL Chon and his best friend, the peaceful botanist Ben, are successful entrepreneurs producing and dealing high-quality weed. Chon brought seeds from Afghanistan and Ben used his knowledge to develop the best marijuana in the country. Chon and Ben share the pothead lover Ophelia and she loves both of them since they complete each other - Chon is a powerful and strong lover and Ben is a sensible and loving lover. Their comfortable life changes when the Mexican Baja Cartel demands a partnership in their business. Chon and Ben refuse the deal and the leader of the cartel Elena sends her right-arm in America, Lado, to abduct Ophelia to press the American drug dealers. Chon and Ben ask the support of the dirty DEA Agent Dennis and get inside information to begin a secret war against the Baja Cartel to release Ophelia. - IMDb"
Firewall,Crime / Thriller,"With his family held for ransom, the head security executive for a global bank is commanded to loot his own business for millions in order to ensure his wife and children's safety. He then faces the demanding task of thwarting the kidnapper's grand scheme, which makes him look guilty of embezzlement. - IMDb"
Trap,Crime / Horror / Mystery / Thriller,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event. - IMDb
The Constant Gardener,Drama / Mystery / Romance / Thriller,"In a remote area of Northern Kenya, activist Tessa Quayle is found brutally murdered. Tessa's companion, a doctor, appears to have fled the scene, and the evidence points to a crime of passion. Members of the British High Commission in Nairobi assume that Tessa's widower, their mild-mannered and unambitious colleague Justin Quayle, will leave the matter to them. They could not be more wrong. Haunted by remorse and jarred by rumors of his late wife's infidelities, Quayle surprises everyone by embarking on a personal odyssey that will take him across three continents. Using his privileged access to diplomatic secrets, he will risk his own life, stopping at nothing to uncover and expose the truth - a conspiracy more far-reaching and deadly than Quayle could ever have imagined. - IMDb"
The Strangers,Horror / Thriller,A young couple staying in an isolated vacation home are terrorized by three unknown assailants. - IMDb
Hitman: Agent 47,Action / Crime / Thriller,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry. - IMDb
Men of Honor,Biography / Drama,"The story ultimately revolves around two ""men of honor""; their relationship, their individual and joint failures and triumphs. Carl Brashear is determined to be the first African American Navy Diver in a time where racism is rife. Leslie Sunday is his embittered trainer, determined to see him fail. Fate, challenges and circumstances eventually draw these two men together in a tale of turbulence and ultimately triumph. - IMDb"
Hannibal Rising,Crime / Drama / Thriller,"Mischa and Hannibal, baby brother and sister, are inseparable; it is their love for each other that ties their bond. Their companionship is forever binding, until, with their family, while hiding from the Nazi war machine a twisted set of circumstance sets the pace for a most vicious attack on the future of one Hannibal Lecter for the sworn vengeance for the brutal killing of his baby sister. Years later, we find Hannibal, the teenager, setting up in Paris, and living with his aunt Lady Murasaki Shikibu and studying at medical school here he finds his forte. Still searching for his sister's murderers, still bitter and still ever hopeful of satisfying his desire for retribution. This chance arrives, and soon we are to learn that for a pound of flesh lost a pound of flesh must be repaid. This is the horrific tale of justice and honor, a young man's growing pains that will have the guilty paying with more than just flesh and bone. This is the up and rising tale of the young Hannibal, prey you do not meet him, for meat you shall be to him. Taste his wroth. - IMDb"
Reign of Fire,Action / Adventure / Fantasy / Sci-Fi / Thriller,"It is twenty years in the future, and the planet has been devastated by vicious fire-breathing dragons. The last vestiges of humanity now struggle for survival at remote outposts. In a ruined castle in the English countryside, Quinn is desperately trying to hold together a band of frightened, restless survivors. As a boy, Quinn watched his mother die protecting him from one of the beasts, and is still haunted by the memory. One day, a group of American rogues shows up, led by a brash, tough-guy named Van Zan. He claims to have discovered a way to kill the dragons once and for all, and enlists Quinn's help. But doing so will force Quinn to confront his own frightening memories. This, and Quinn's responsibilities to those that are under his protection, results in a battle of wills between the two men. In the end, events cause them both to realize that they must work together to defeat the monsters--both without and within. - IMDb"
Catwoman,Action,"Catwoman is the story of shy, sensitive artist Patience Philips, a woman who can't seem to stop apologizing for her own existence. She works as a graphic designer for Hedare Beauty, a mammoth cosmetics company on the verge of releasing a revolutionary anti-aging product. When Patience inadvertently happens upon a dark secret her employer is hiding, she finds herself in the middle of a corporate conspiracy. What happens next changes Patience forever. In a mystical twist of fate, she is transformed into a woman with the strength, speed, agility and ultra-keen senses of a cat. With her newfound prowess and feline intuition, Patience becomes Catwoman, a sleek and stealthy creature balancing on the thin line between good and bad. Like any wildcat, she's dangerous, elusive and untamed. Her adventures are complicated by a burgeoning relationship with Tom Lone, a cop who has fallen for Patience but cannot shake his fascination with the mysterious Catwoman, who appears to be responsible for a string of crime sprees plaguing the city. - IMDb"
Keinohrhasen,Comedy / Romance,"Gossip-columnist Ludo finds himself sentenced to three-hundred hours of community service after he literally crashes a private celebrity party. The work is at a children's day-centre and while the job's fine it is his bad luck that the person in charge is a woman whom he used to play endless practical jokes on when they were at school; she hasn't forgotten and is prepared to use her new-found power to get her own back. She finds however that, like the children, she's warming to him. If only the court injunction had stopped his womanising too. - IMDb"
Ouija: Origin of Evil,Horror / Thriller,Sequel to the 2014 horror film ''Ouija''. - IMDb
Midnight Run,Action / Comedy / Crime / Thriller,"Bounty hunter Jack Walsh is sent to find and return bail jumper and former Mafia accountant, Jonathan ""The Duke"" Mardukas. The FBI have had no success in locating The Duke, so when Jack finds him in next to no time, they are a little embarrassed. In order to collect his $100,000 fee, Jack must take The Duke from New York to Los Angeles. However, the Mafia and the FBI have other ideas, as does Marvin, a rival bounty hunter. On their long cross-country trip to LA, the two get to know each other and they build up a strange friendship. - IMDb"
Frankenweenie,Animation / Comedy / Family / Horror / Sci-Fi,"When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been. - IMDb"
Hope Floats,Drama / Romance,"Birdee Calvert-Pruitt is back in her hometown of Smithville, Texas, after discovering that her husband is having an affair with her best friend, Connie. The entire town knows what happened to flawless beauty Birdee since Connie let her know about the affair on a national talk show. Back in town, she's dealing with catty old friends and acquaintances from high school who can't help rubbing it in her face that she isn't as perfect as she thought while still trying to get back on her feet with her daughter, Bernice. Deeply depressed, she runs into an old friend, Justin Matisse, who tries to help her through, but is still in love with her. Birdee must make a new life for her and her daughter, but will Justin be able to be part of it? - IMDb"
Waiting to Exhale,Comedy / Drama / Romance,"This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world. - IMDb"
Tinker Tailor Soldier Spy,Drama / Mystery / Thriller,"In the bleak days of the Cold War, espionage veteran George Smiley (Gary Oldman) is forced from semi-retirement to uncover a Soviet Agent within MI6. - IMDb"
Dreamcatcher,Drama / Horror / Sci-Fi / Thriller,"Four childhood friends, Jonesy, Beaver, Pete and Henry all share a special secret. Each year, they take a trip into Maine woods. This year is different. A blizzard occurs, and they recover a man found wandering around. Unbeknownst to them,this wandering individual isn't the only being to be found. Now they must act fast to stop the outbreak developing and to prevent the world from its doom - IMDb"
Edge of Darkness,Crime / Drama / Mystery / Thriller,"Thomas Craven is a detective who has spent years working the streets of Boston. When his own daughter is killed outside his own home, Craven soon realizes that her death is only one piece of an intriguing puzzle filled with corruption and conspiracy, and it falls to him to discover who is behind the crime. - IMDb"
Underworld: Blood Wars,Action / Horror,"The next installment in the blockbuster franchise, UNDERWORLD: BLOOD WARS follows Vampire death dealer, Selene (Kate Beckinsale) as she fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David (Theo James) and his father Thomas (Charles Dance), she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice. - IMDb"
The Rookie,Drama / Family / Sport,"Jim Morris is a Texas high school chemistry teacher and coach of the school's baseball team. He's always loved baseball and as a way of motivating his players, he agrees to go to a professional try-out if they win the championship. He once had aspirations to be a professional baseball player but an injury brought that to an end. Sure enough, the 39 year-old father of three finds himself at a camp for the Tampa Bay Devil Rays and he somehow seems to have regained his pitching arm, easily throwing a 98 mph fastball. Signed to a contract, he toils in the minor leagues while his supportive wife stays home raising their children. He soon finds himself called up to the big club and pitching for Tampa which is in Texas playing the Rangers. Based on a true story. - IMDb"
Hot Fuzz,Action / Comedy,"Top London cop, PC Nicholas Angel is good. Too good. And to stop the rest of his team looking bad, he is reassigned to the quiet town of Sandford. He is paired with Danny Butterman, who endlessly questions him on the action lifestyle. Everything seems quiet for Angel, until two actors are found decapitated. It is called an accident, but Angel isn't going to accept that, especially when more and more people turn up dead. Angel and Danny clash with everyone, whilst trying to uncover the truth behind the mystery of the apparent ""accidents"". - IMDb"
Vampires Suck,Comedy,"Frank Crane, sheriff of Washington's Spork town, welcomes back his daughter Becca. However obvious the signs, she takes forever to recognize its Halloween-like decoration hardly masks the omnipresence of bizarrely clumsy vampires and werewolves, even in the case of her devoted youth friend Jacob White, whose canine traits extend from a tail to the irresistible urge to chase cats. She falls in love with sickly pale Edward Sullen, member of the depressed, bloodthirsty adopted family of Dr. Carlton. - IMDb"
Den of Thieves,Action / Crime / Drama / Mystery / Thriller,A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles. - IMDb
Muppets Most Wanted,Adventure / Comedy / Crime / Family / Musical,"Flush with their revival's success, Kermit the Frog and his friends are approached by Dominic Badguy to go on a world tour. Unknown to them, this is all part of the sinister plan of Constantine, the world's most evil frog, to become the greatest thief of all time. After making sure that Kermit is jailed as himself, Constantine impersonates him to use the Muppets' tour as cover for his scheme. While Sam the Eagle and Inspector Jean Pierre Napoleon investigate, the Muppets find their boss seems strangely changed even as Kermit desperately attempts to escape to stop the impostor. Only when Walter, Fozzie and Animal realize the truth is there a chance to prevent Constantine from pulling off the crime of the century. - IMDb"
7-beon-bang-ui seon-mul,Comedy / Drama,"Successful Ryoo Seung-yong comes back as a fool Yong-gu for his daughter! Outsiders not allowed! In room number 7 of the prison where all kinds of criminals are gathered, comes Yong-gu, a father with the sense of a 6 year-old and his 7 year-old daughter Ye-seung. The mission of these criminals in room number 7 is to protect these two who can never stay apart for a single moment. Will they succeed? - IMDb"
Halloween,Horror,"The residents of Haddonfield don't know it yet... but death is coming to their small sleepy town. Sixteen years ago, a ten year old boy called Michael Myers brutally kills his step father, his elder sister and her boyfriend. Sixteen years later, he escapes from the mental institution and makes his way back to his hometown intent on a murderous rampage pursued by Dr Sam Loomis who is Michael's doctor and the only one who knows Michael's true evil. Elsewhere a shy teenager by the name of Laurie Strode is babysitting on the night Michael comes home... is it pure coincidence that she and her friends are being stalked by him? - IMDb"
Takers,Action / Crime / Thriller,"A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse (Chris Brown) Attica successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""takers"" carefully plot their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals. - IMDb"
Finding Forrester,Drama,"Because of scoring exceptionally high on a statewide standardized exam and being an exceptionally good basketball player Jamal Wallace is sent to a prestigious prep school in Manhattan. He soon befriends the reclusive writer, William Forrester. The friendship leads William to overcome his reclusiveness and for Jamal to overcome the racial prejudices and pursue his true dream - writing. - IMDb"
The Golden Child,Action / Adventure / Comedy / Fantasy / Mystery,"Eddie Murphy plays a detective with a speciality of finding lost children. He is told he is the 'Chosen one' who will find and protect the Golden Child, a Bhuddist mystic who was kidnapped by an evil sorcerer. Murphy disbelieves the mysticism but finds more and more evidence of demon worship as he investigates."
The Wedding Ringer,Comedy,"Doug Harris (Josh Gad) is a lovable but socially awkward groom-to-be with a problem: he has no best man. With less than two weeks to go until he marries the girl of his dreams (Kaley Cuoco-Sweeting), Doug is referred to Jimmy Callahan (Kevin Hart), owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need. What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy. - IMDb"
Earthquake,Action / Drama / Thriller,"Construction Engineer Stuart Graff is estranged from his jealously possessive wife, Remy, and has an affair with Denise Marshall, the widow of a co-worker. Meanwhile, Remy tries to persuade her father, Sam Royce, who is Stuart's employer, to use his influence to stop Stuart from seeing Denise. Rogue policeman Lew Slade is suspended from the L.A.P.D. for having punched an obtuse officer from another jurisdiction. Embittered, Slade contemplates quitting the police force. Jody, a perverted grocery store manager, lusts after Rosa Amici, sister of Sal, the assistant to Miles Quade, an aspiring daredevil motor cyclist. The lives of all these people are devastated when a major earthquake rips through Los Angeles and reduces the city to ruins. - IMDb"
WarGames,Action / Adventure / Drama / Sci-Fi / Thriller,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III. - IMDb"
Righteous Kill,Action / Crime / Drama / Mystery / Thriller,"Righteous Kill pairs two cinematic icons whose previous screen collaboration, Michael Mann's 1995 Heat, was absolutely electrifying despite minimal time together in a long movie. Now in their mid-60s, De Niro and Pacino are playing veteran cops who, despite being grizzled, should look much younger than these actors. The incongruent casting makes the dark story improbable from the get-go, and things get worse as dialogue by screenwriter Russell Gurwitz quickly sounds like a parody of vintage cop movie cliches. It's a strain to find anything that works. The two leads play longtime detectives and partners whose weariness with rapists, murderers, pedophiles and other villains appears linked to the acts of a serial killer taking out bad guys who got away with heinous crimes. A videotape confession by De Niro's tightly-coiled Turk--who has been seeking the killer with Pacino's Rooster--would seem to establish his ties to the events. But the movie isn't over until it's over, assuming one is still with the movie after plodding along with its facsimile of noir conviction. Director Jon Avnet never gets a handle on Righteous Kill's gritty heart, superficially pushing suspense along with heavy-handed editing, and adding unpersuasive sauce in the form of Turk's somewhat S&M sexual relationship with a female cop (Carla Gugino). Giving the proceedings sort of a boost are Donnie Wahlberg and John Leguizamo as a younger pair of sleuths working the same case. This could easily have been a better movie with those two in the leads."
Hereditary,Drama / Horror / Mystery / Thriller,"When the matriarch of the Graham family passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry. - IMDb"
Good Bye Lenin!,Drama / Romance,"East Germany, the year 1989: A young man protests against the regime. His mother watches the police arresting him and suffers a heart attack and falls into a coma. Some months later, the GDR does not exist anymore and the mother awakes. Since she has to avoid every excitement, the son tries to set up the GDR again for her in their flat. But the world has changed a lot. - IMDb"
Uncle Buck,Comedy,"As an idle, good-natured bachelor, Uncle Buck is the last person you would think of to watch the kids. However, during a family crisis, he is suddenly left in charge of his nephew and nieces. Unaccustomed to suburban life, fun-loving Uncle Buck soon charms his younger relatives Miles and Maizy with his hefty cooking and his new way of doing the laundry. His carefree style does not impress everyone though - especially his rebellious teenage niece, Tia, and his impatient girlfriend, Chanice. With a little bit of luck and a lot of love, Uncle Buck manages to surprise everyone in this heartwarming family comedy. - IMDb"
Letters to Juliet,Comedy / Drama / Romance,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter. - IMDb"
Home Alone 3,Comedy / Family,"Four high-tech industrial spies, Beaupre, Alice, Jernigan and Unger, steal a top-secret microchip, and, to fool customs, hide it in a remote-control toy car. Through a baggage mix-up at the airport, grumpy old Mrs.Hess gets the toy and gives it to her neighbor, 8-year-old Alex. Spies want to get the toy back before their clients get angry and decide to burglarize every house at Alex's street to find the chip. But Alex is prepared for their visit..."
